CEPVL,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
URYDL,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
URAVL,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
URADL,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
RMEV,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
RMEL,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
RMED,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
RIPL,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
OLQDL,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
IL2VL,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
IL2L,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
IL2DL,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
IL1DL,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
IL1L,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
URYVL,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
IL1VL,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
OLQVL,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
RMDDL,Anterior,Sublateral,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
RMDVL,Anterior,Sublateral,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
OLLL,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
RIH,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
AVEL,Anterior,Taxis,Taxis,Anterior,Taxis,Taxis,Anterior,Anterior,Anterior
RIAL,Anterior,Sublateral,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior,Anterior
DVC,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral
RIGL,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral
RIS,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral
SMDVL,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral
RIVL,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral
SMDDL,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral
SAAVL,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral
PVT,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral
AVKL,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral,Lateral
